FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;18,875;;;
170102;0000;26,5;;;
170103;0000;47,9583;;;
170104;0000;30,6667;;;
170105;0000;23,0833;;;
170106;0000;24,125;;;
170107;0000;25,75;;;
170108;0000;18,375;;;
170109;0000;13,875;;;
170110;0000;16,3478;;;
170111;0000;20,25;;;
170112;0000;26,2083;;;
170113;0000;23,3478;;;
170114;0000;16,9583;;;
170115;0000;22,0833;;;
170116;0000;27,5417;;;
170117;0000;30,5;;;
170118;0000;45,25;;;
170119;0000;92,7084;;;
170120;0000;64,125;;;
170121;0000;64,7084;;;
170122;0000;62,6667;;;
170123;0000;53,9583;;;
170124;0000;67,8334;;;
170125;0000;40,7083;;;
170126;0000;56,4167;;;
170127;0000;35,375;;;
170128;0000;61,7826;;;
170129;0000;65,0834;;;
170130;0000;67,6666;;;
170131;0000;43,625;;;
170201;0000;73,9166;;;
170202;0000;47,4583;;;
170203;0000;14,8333;;;
170204;0000;17,7083;;;
170205;0000;18,4583;;;
170206;0000;23,2917;;;
170207;0000;18,75;;;
170208;0000;17,75;;;
170209;0000;18,0833;;;
170210;0000;20,5;;;
170211;0000;21;;;
170212;0000;20,4583;;;
170213;0000;20,9583;;;
170214;0000;23,8333;;;
170215;0000;22,0833;;;
170216;0000;17,5833;;;
170217;0000;18,1667;;;
170218;0000;16,1667;;;
170219;0000;21,5417;;;
170220;0000;23;;;
170221;0000;28;;;
170222;0000;;;;
170223;0000;21,9583;;;
170224;0000;21,9583;;;
170225;0000;16,4167;;;
170226;0000;14,4583;;;
170227;0000;16,2917;;;
170228;0000;11,625;;;
170301;0000;11,3333;;;
170302;0000;9,54167;;;
170303;0000;12,25;;;
170304;0000;11,5833;;;
170305;0000;14,3333;;;
170306;0000;14,375;;;
170307;0000;21,25;;;
170308;0000;16,7083;;;
170309;0000;8,25;;;
170310;0000;14,375;;;
170311;0000;21,375;;;
170312;0000;14,8333;;;
170313;0000;20,6667;;;
170314;0000;19,0869;;;
170315;0000;20,375;;;
170316;0000;23,6667;;;
170317;0000;;;;
170318;0000;;;;
170319;0000;;;;
170320;0000;;;;
170321;0000;;;;
170322;0000;27;;;
170323;0000;27,125;;;
170324;0000;23,1053;;;
170325;0000;23,7083;;;
170326;0000;12,7083;;;
170327;0000;14,4583;;;
170328;0000;18,7083;;;
170329;0000;12,0417;;;
170330;0000;14,4583;;;
170331;0000;17,0454;;;
170401;0000;16,4091;;;
170402;0000;13,6667;;;
170403;0000;18,25;;;
170404;0000;15,5417;;;
170405;0000;21,1667;;;
170406;0000;19,1;;;
170407;0000;7,45833;;;
170408;0000;8,75;;;
170409;0000;13,5833;;;
170410;0000;20;;;
170411;0000;24,3333;;;
170412;0000;25,7727;;;
170413;0000;17,5417;;;
170414;0000;14,2917;;;
170415;0000;17,9091;;;
170416;0000;26,0833;;;
170417;0000;24,0833;;;
170418;0000;18,375;;;
170419;0000;17,4167;;;
170420;0000;21,0417;;;
170421;0000;;;;
170422;0000;21,8333;;;
170423;0000;21;;;
170424;0000;24,25;;;
170425;0000;21,5417;;;
170426;0000;32,125;;;
170427;0000;29,5;;;
170428;0000;31,1;;;
170429;0000;31,4167;;;
170430;0000;33,6667;;;
170501;0000;37;;;
170502;0000;42;;;
170503;0000;48;;;
170504;0000;40;;;
170505;0000;38;;;
170506;0000;36;;;
170507;0000;29;;;
170508;0000;13;;;
170509;0000;33;;;
170510;0000;34;;;
170511;0000;11;;;
170512;0000;16;;;
170513;0000;17;;;
170514;0000;20;;;
170515;0000;25;;;
170516;0000;31;;;
170517;0000;23;;;
170518;0000;8;;;
170519;0000;22;;;
170520;0000;40;;;
170521;0000;47;;;
170522;0000;56;;;
170523;0000;59;;;
170524;0000;57;;;
170525;0000;18;;;
170526;0000;30;;;
170527;0000;31;;;
170528;0000;43;;;
170529;0000;54;;;
170530;0000;64;;;
170531;0000;71;;;
170601;0000;58;;;
170602;0000;53;;;
170603;0000;41;;;
170604;0000;38;;;
170605;0000;52;;;
170606;0000;61;;;
170607;0000;46;;;
170608;0000;30;;;
170609;0000;59;;;
170610;0000;46;;;
170611;0000;41;;;
170612;0000;51;;;
170613;0000;67;;;
170614;0000;;;;
170615;0000;61;;;
170616;0000;19;;;
170617;0000;8;;;
170618;0000;39;;;
170619;0000;47;;;
170620;0000;54;;;
170621;0000;52;;;
170622;0000;28;;;
170623;0000;28;;;
170624;0000;34;;;
170625;0000;21;;;
170626;0000;11;;;
170627;0000;25;;;
170628;0000;29;;;
170629;0000;47;;;
170630;0000;51;;;
170701;0000;54;;;
170702;0000;73;;;
170703;0000;38;;;
