FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;;18,6667;;
170102;0000;;24,7083;;
170103;0000;;41,7083;;
170104;0000;;20,6667;;
170105;0000;;16,625;;
170106;0000;;19,0833;;
170107;0000;;33,2083;;
170108;0000;;15,7083;;
170109;0000;;7,70834;;
170110;0000;;12,8333;;
170111;0000;;13,3333;;
170112;0000;;21,4167;;
170113;0000;;18,5833;;
170114;0000;;14,2917;;
170115;0000;;15,4583;;
170116;0000;;19,375;;
170117;0000;;25,5417;;
170118;0000;;31,5833;;
170119;0000;;61,25;;
170120;0000;;59,7083;;
170121;0000;;49,5;;
170122;0000;;49,0833;;
170123;0000;;45,4167;;
170124;0000;;46,75;;
170125;0000;;34,8333;;
170126;0000;;52,7083;;
170127;0000;;29;;
170128;0000;;47,4167;;
170129;0000;;50,875;;
170130;0000;;56,7083;;
170131;0000;;31,75;;
170201;0000;;70,2084;;
170202;0000;;37,8696;;
170203;0000;;9,04167;;
170204;0000;;9,41667;;
170205;0000;;14,6667;;
170206;0000;;14,625;;
170207;0000;;12,5833;;
170208;0000;;11,875;;
170209;0000;;12,9583;;
170210;0000;;14,7917;;
170211;0000;;15,2083;;
170212;0000;;14,5833;;
170213;0000;;16,2917;;
170214;0000;;17;;
170215;0000;;14,9583;;
170216;0000;;12,75;;
170217;0000;;9;;
170218;0000;;12,7083;;
170219;0000;;17,0417;;
170220;0000;;39;;
170221;0000;;14,8333;;
170222;0000;;19,3333;;
170223;0000;;15,9583;;
170224;0000;;17,2083;;
170225;0000;;13;;
170226;0000;;10,6667;;
170227;0000;;9,66667;;
170228;0000;;9,5;;
170301;0000;;9,875;;
170302;0000;;9,20833;;
170303;0000;;11,0833;;
170304;0000;;13,1667;;
170305;0000;;15,4167;;
170306;0000;;;;
170307;0000;;;;
170308;0000;;;;
170309;0000;;;;
170310;0000;;;;
170311;0000;;16,2083;;
170312;0000;;16,375;;
170313;0000;;32,4583;;
170314;0000;;15,2083;;
170315;0000;;16,9583;;
170316;0000;;22,125;;
170317;0000;;19,75;;
170318;0000;;21,5833;;
170319;0000;17,3333;;;
170320;0000;25,5417;;;
170321;0000;21,9583;;;
170322;0000;19,5833;;;
170323;0000;19,5;;;
170324;0000;17,0833;;;
170325;0000;18,7917;;;
170326;0000;13,2917;;;
170327;0000;12,6667;;;
170328;0000;13,625;;;
170329;0000;8,83333;;;
170330;0000;13,2917;;;
170331;0000;11,75;;;
170401;0000;15,25;;;
170402;0000;15,4583;;;
170403;0000;14,5417;;;
170404;0000;10,2917;;;
170405;0000;20,4583;;;
170406;0000;18,625;;;
170407;0000;5,33333;;;
170408;0000;9,75;;;
170409;0000;20,0417;;;
170410;0000;;;;
170411;0000;;;;
170412;0000;;;;
170413;0000;15,3333;;;
170414;0000;15,087;;;
170415;0000;19,0417;;;
170416;0000;25,875;;;
170417;0000;22,5833;;;
170418;0000;14,7917;;;
170419;0000;17,7917;;;
170420;0000;17,875;;;
170421;0000;20,2083;;;
170422;0000;20,5;;;
170423;0000;20,0417;;;
170424;0000;20,625;;;
170425;0000;18,2917;;;
170426;0000;27,9565;;;
170427;0000;38,8333;;;
170428;0000;42,2917;;;
170429;0000;60,875;;;
170430;0000;62,375;;;
170501;0000;30;;;
170502;0000;40;;;
170503;0000;48;;;
170504;0000;43;;;
170505;0000;37;;;
170506;0000;40;;;
170507;0000;43;;;
170508;0000;12;;;
170509;0000;43;;;
170510;0000;39;;;
170511;0000;11;;;
170512;0000;18;;;
170513;0000;28;;;
170514;0000;36;;;
170515;0000;34;;;
170516;0000;29;;;
170517;0000;27;;;
170518;0000;8;;;
170519;0000;38;;;
170520;0000;77;;;
170521;0000;82;;;
170522;0000;61;;;
170523;0000;48;;;
170524;0000;56;;;
170525;0000;23;;;
170526;0000;35;;;
170527;0000;55;;;
170528;0000;67;;;
170529;0000;55;;;
170530;0000;65;;;
170531;0000;75;;;
170601;0000;69;;;
170602;0000;66;;;
170603;0000;49;;;
170604;0000;63;;;
170605;0000;64;;;
170606;0000;80;;;
170607;0000;67;;;
170608;0000;26;;;
170609;0000;63;;;
170610;0000;89;;;
170611;0000;80;;;
170612;0000;69;;;
170613;0000;50;;;
170614;0000;58;;;
170615;0000;71;;;
170616;0000;21;;;
170617;0000;13;;;
170618;0000;50;;;
170619;0000;58;;;
170620;0000;61;;;
170621;0000;51;;;
170622;0000;23;;;
170623;0000;35;;;
170624;0000;47;;;
170625;0000;27;;;
170626;0000;12;;;
170627;0000;30;;;
170628;0000;45;;;
170629;0000;66;;;
170630;0000;68;;;
170701;0000;81;;;
170702;0000;76;;;
170703;0000;39;;;
170704;0000;26;;;
170705;0000;56;;;
170706;0000;56;;;
170707;0000;58;;;
170708;0000;85;;;
170709;0000;63;;;
170710;0000;74;;;
170711;0000;80;;;
170712;0000;42;;;
170713;0000;;;;
170714;0000;18;;;
170715;0000;13;;;
170716;0000;22;;;
170717;0000;51;;;
170718;0000;64;;;
170719;0000;66;;;
170720;0000;79;;;
170721;0000;53;;;
170722;0000;31;;;
170723;0000;43;;;
170724;0000;39;;;
170725;0000;54;;;
170726;0000;64;;;
170727;0000;55;;;
170728;0000;48;;;
170729;0000;71;;;
170730;0000;59;;;
170731;0000;73;;;
170801;0000;38;;;
170802;0000;57;;;
170803;0000;50;;;
170804;0000;41;;;
170805;0000;55;;;
170806;0000;77;;;
170807;0000;37;;;
170808;0000;41;;;
170809;0000;28;;;
170810;0000;9;;;
170811;0000;13;;;
170812;0000;32;;;
170813;0000;35;;;
170814;0000;26;;;
170815;0000;37;;;
170816;0000;43;;;
170817;0000;37;;;
170818;0000;21;;;
170819;0000;35;;;
170820;0000;60;;;
170821;0000;37;;;
170822;0000;34;;;
170823;0000;19;;;
170824;0000;12;;;
170825;0000;17;;;
170826;0000;39;;;
170827;0000;30;;;
170828;0000;11;;;
170829;0000;11;;;
170830;0000;30;;;
170831;0000;31;;;
170901;0000;18;;;
170902;0000;21;;;
170903;0000;8;;;
170904;0000;;;;
170905;0000;;;;
170906;0000;34;;;
170907;0000;33;;;
170908;0000;14;;;
170909;0000;32;;;
170910;0000;15;;;
170911;0000;31;;;
170912;0000;;;;
170913;0000;;;;
170914;0000;;;;
170915;0000;;;;
