FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;18,3333;;;
170102;0000;30,9583;;;
170103;0000;46,4167;;;
170104;0000;32,3333;;;
170105;0000;17,0417;;;
170106;0000;20,375;;;
170107;0000;15,25;;;
170108;0000;8,625;;;
170109;0000;8;;;
170110;0000;10,4167;;;
170111;0000;13,2083;;;
170112;0000;17,4167;;;
170113;0000;11,6667;;;
170114;0000;9,91667;;;
170115;0000;11;;;
170116;0000;18,7917;;;
170117;0000;17,0417;;;
170118;0000;36,5;;;
170119;0000;69,9167;;;
170120;0000;63,0833;;;
170121;0000;70,75;;;
170122;0000;58,1667;;;
170123;0000;47,875;;;
170124;0000;47,0417;;;
170125;0000;48,8333;;;
170126;0000;46,1818;;;
170127;0000;29,7083;;;
170128;0000;43,625;;;
170129;0000;58,5417;;;
170130;0000;61,5;;;
170131;0000;40,5;;;
170201;0000;62,7917;;;
170202;0000;44;;;
170203;0000;8,25;;;
170204;0000;6,54167;;;
170205;0000;13,875;;;
170206;0000;18,1667;;;
170207;0000;12,875;;;
170208;0000;11,25;;;
170209;0000;12,5;;;
170210;0000;14,125;;;
170211;0000;11,1667;;;
170212;0000;12,8333;;;
170213;0000;13,75;;;
170214;0000;18;;;
170215;0000;15,2917;;;
170216;0000;12,25;;;
170217;0000;10,0833;;;
170218;0000;8,29167;;;
170219;0000;11,2083;;;
170220;0000;11,9167;;;
170221;0000;13,2083;;;
170222;0000;15,25;;;
170223;0000;23,0417;;;
170224;0000;17,125;;;
170225;0000;15;;;
170226;0000;11,2174;;;
170227;0000;10,7083;;;
170228;0000;12,1667;;;
170301;0000;11,4167;;;
170302;0000;9,41667;;;
170303;0000;10,9583;;;
170304;0000;12;;;
170305;0000;11,0417;;;
170306;0000;12,5833;;;
170307;0000;14,2083;;;
170308;0000;12,0417;;;
170309;0000;;;;
170310;0000;;;;
170311;0000;;;;
170312;0000;;;;
170313;0000;;;;
170314;0000;21,4583;;;
170315;0000;16,3333;;;
170316;0000;17,2917;;;
170317;0000;19;;;
170318;0000;18,2083;;;
170319;0000;18,375;;;
170320;0000;25,7083;;;
170321;0000;25,25;;;
170322;0000;24,1667;;;
170323;0000;25,75;;;
170324;0000;15,9583;;;
170325;0000;20,875;;;
170326;0000;10,2917;;;
170327;0000;13,0417;;;
170328;0000;14,8333;;;
170329;0000;10,625;;;
170330;0000;12,125;;;
170331;0000;14,25;;;
170401;0000;15,4167;;;
170402;0000;13,5833;;;
170403;0000;12,1667;;;
170404;0000;11,875;;;
170405;0000;15,875;;;
170406;0000;10,875;;;
170407;0000;3,91667;;;
170408;0000;12,9583;;;
170409;0000;9,83333;;;
170410;0000;14,7826;;;
170411;0000;15,8333;;;
170412;0000;16,4583;;;
170413;0000;19,9583;;;
170414;0000;14,8333;;;
170415;0000;20,4167;;;
170416;0000;23,0417;;;
170417;0000;21,125;;;
170418;0000;18,1667;;;
170419;0000;17,25;;;
170420;0000;15,0417;;;
170421;0000;18,4583;;;
170422;0000;24,0833;;;
170423;0000;17,9167;;;
170424;0000;19,9583;;;
170425;0000;19,4583;;;
170426;0000;19,25;;;
170427;0000;19,9167;;;
170428;0000;17,3333;;;
170429;0000;22,9583;;;
170430;0000;38,625;;;
170501;0000;37;;;
170502;0000;43;;;
170503;0000;33;;;
170504;0000;30;;;
170505;0000;33;;;
170506;0000;35;;;
170507;0000;18;;;
170508;0000;12;;;
170509;0000;33;;;
170510;0000;26;;;
170511;0000;5;;;
170512;0000;11;;;
170513;0000;18;;;
170514;0000;16;;;
170515;0000;20;;;
170516;0000;27;;;
170517;0000;27;;;
170518;0000;5;;;
170519;0000;13;;;
170520;0000;37;;;
170521;0000;45;;;
170522;0000;44;;;
170523;0000;56;;;
170524;0000;36;;;
170525;0000;14;;;
170526;0000;16;;;
170527;0000;28;;;
170528;0000;44;;;
170529;0000;52;;;
170530;0000;64;;;
170531;0000;48;;;
170601;0000;32;;;
170602;0000;48;;;
170603;0000;52;;;
170604;0000;30;;;
170605;0000;35;;;
170606;0000;43;;;
170607;0000;31;;;
170608;0000;19;;;
170609;0000;38;;;
170610;0000;41;;;
170611;0000;33;;;
170612;0000;38;;;
170613;0000;59;;;
170614;0000;58;;;
170615;0000;39;;;
170616;0000;8;;;
170617;0000;10;;;
170618;0000;29;;;
170619;0000;37;;;
170620;0000;34;;;
170621;0000;41;;;
170622;0000;13;;;
170623;0000;26;;;
170624;0000;25;;;
170625;0000;20;;;
170626;0000;12;;;
170627;0000;21;;;
170628;0000;23;;;
170629;0000;26;;;
170630;0000;35;;;
