Consulta_por,n_pacientes,Comuna,Mes,Año
IRA ALTA,465,Santiago,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,82,Santiago,enero,2017
NEUMONÍA,54,Santiago,enero,2017
ASMA,23,Santiago,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,32,Santiago,enero,2017
OTRAS RESPIRATORIAS,192,Santiago,enero,2017
IRA ALTA,132,Cerrillos,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,19,Cerrillos,enero,2017
NEUMONÍA,10,Cerrillos,enero,2017
ASMA,5,Cerrillos,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,2,Cerrillos,enero,2017
OTRAS RESPIRATORIAS,69,Cerrillos,enero,2017
IRA ALTA,236,Cerro Navia,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,83,Cerro Navia,enero,2017
NEUMONÍA,10,Cerro Navia,enero,2017
ASMA,68,Cerro Navia,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,29,Cerro Navia,enero,2017
OTRAS RESPIRATORIAS,67,Cerro Navia,enero,2017
IRA ALTA,385,Conchalí,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,64,Conchalí,enero,2017
NEUMONÍA,54,Conchalí,enero,2017
ASMA,31,Conchalí,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,10,Conchalí,enero,2017
OTRAS RESPIRATORIAS,161,Conchalí,enero,2017
IRA ALTA,1.448,El Bosque,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,133,El Bosque,enero,2017
NEUMONÍA,67,El Bosque,enero,2017
ASMA,100,El Bosque,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,70,El Bosque,enero,2017
OTRAS RESPIRATORIAS,410,El Bosque,enero,2017
IRA ALTA,119,Estación Central,enero,2017
SINDROME BRONQUIAL OBSTRUCTIVO,37,Estación Central,enero,2017
NEUMONÍA,6,Estación Central,enero,2017
ASMA,14,Estación Central,enero,2017
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,1,Estación Central,enero,2017
OTRAS RESPIRATORIAS,139,Estación Central,enero,2017
IRA ALTA,299,Huechuraba,enero,2017
