FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;19,9167;;;
170102;0000;25,0833;;;
170103;0000;42,5;;;
170104;0000;21,125;;;
170105;0000;17,7083;;;
170106;0000;19;;;
170107;0000;34,875;;;
170108;0000;17,5833;;;
170109;0000;8,75;;;
170110;0000;12,0417;;;
170111;0000;15,0417;;;
170112;0000;21,875;;;
170113;0000;18,0417;;;
170114;0000;13,9583;;;
170115;0000;16,5;;;
170116;0000;18,4583;;;
170117;0000;24;;;
170118;0000;34,2917;;;
170119;0000;62,5833;;;
170120;0000;56,2083;;;
170121;0000;49,8333;;;
170122;0000;49,5;;;
170123;0000;44,4583;;;
170124;0000;49,4583;;;
170125;0000;33,6667;;;
170126;0000;53,625;;;
170127;0000;27,7917;;;
170128;0000;48,3333;;;
170129;0000;50,9583;;;
170130;0000;57,1667;;;
170131;0000;31,3333;;;
170201;0000;65,625;;;
170202;0000;37,625;;;
170203;0000;10,4167;;;
170204;0000;10,4167;;;
170205;0000;16,5417;;;
170206;0000;17,9091;;;
170207;0000;14,2917;;;
170208;0000;13,9167;;;
170209;0000;13,375;;;
170210;0000;17,0833;;;
170211;0000;16,4167;;;
170212;0000;16,0417;;;
170213;0000;16,7083;;;
170214;0000;18,9167;;;
170215;0000;15,125;;;
170216;0000;14,0417;;;
170217;0000;10,9167;;;
170218;0000;14,2083;;;
170219;0000;17,6667;;;
170220;0000;20,7917;;;
170221;0000;15,0833;;;
170222;0000;19,875;;;
170223;0000;18,875;;;
170224;0000;18,5;;;
170225;0000;15,3333;;;
170226;0000;13;;;
170227;0000;11,4167;;;
170228;0000;10,3333;;;
170301;0000;12,0417;;;
170302;0000;10,7083;;;
170303;0000;13,25;;;
170304;0000;13,6522;;;
170305;0000;17,7917;;;
170306;0000;17;;;
170307;0000;22,125;;;
170308;0000;16,2917;;;
170309;0000;8;;;
170310;0000;;;;
170311;0000;;;;
170312;0000;21,5833;;;
170313;0000;28,0417;;;
170314;0000;17,25;;;
170315;0000;;;38,6957;
170316;0000;;;;
170317;0000;;;;
170318;0000;;;;
170319;0000;;;;
170320;0000;19,5833;;;
170321;0000;16;;;
170322;0000;14,25;;;
170323;0000;14,9167;;;
170324;0000;10,9583;;;
170325;0000;13,125;;;
170326;0000;6,625;;;
170327;0000;8,25;;;
170328;0000;;;;
170329;0000;;;;
170330;0000;;;;
170331;0000;;;;
170401;0000;16,4167;;;
170402;0000;17,7083;;;
170403;0000;17,2917;;;
170404;0000;13,1667;;;
170405;0000;20,9583;;;
170406;0000;21,25;;;
170407;0000;7,79167;;;
170408;0000;11,0833;;;
170409;0000;20,9167;;;
170410;0000;26,25;;;
170411;0000;29,9167;;;
170412;0000;26,5;;;
170413;0000;17,4583;;;
170414;0000;16,375;;;
170415;0000;21,625;;;
170416;0000;28,5417;;;
170417;0000;22,9167;;;
170418;0000;15,7917;;;
170419;0000;19;;;
170420;0000;20,4583;;;
170421;0000;24,2917;;;
170422;0000;23,1667;;;
170423;0000;23,375;;;
170424;0000;22,9583;;;
170425;0000;21,0833;;;
170426;0000;33,625;;;
170427;0000;42,7083;;;
170428;0000;46,0417;;;
170429;0000;60,875;;;
170430;0000;62,7917;;;
170501;0000;31;;;
170502;0000;43;;;
170503;0000;53;;;
170504;0000;48;;;
170505;0000;38;;;
170506;0000;47;;;
170507;0000;50;;;
170508;0000;16;;;
170509;0000;44;;;
170510;0000;42;;;
170511;0000;16;;;
170512;0000;20;;;
170513;0000;30;;;
170514;0000;41;;;
170515;0000;36;;;
170516;0000;28;;;
170517;0000;26;;;
170518;0000;10;;;
170519;0000;39;;;
170520;0000;77;;;
170521;0000;83;;;
170522;0000;63;;;
170523;0000;46;;;
170524;0000;52;;;
170525;0000;26;;;
170526;0000;42;;;
170527;0000;57;;;
170528;0000;75;;;
170529;0000;52;;;
170530;0000;59;;;
170531;0000;74;;;
170601;0000;73;;;
170602;0000;67;;;
170603;0000;47;;;
170604;0000;66;;;
170605;0000;74;;;
170606;0000;88;;;
170607;0000;67;;;
170608;0000;27;;;
