FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;14,5833;;;
170102;0000;22,9167;;;
170103;0000;41,5001;;;
170104;0000;24,625;;;
170105;0000;21,5;;;
170106;0000;21,8333;;;
170107;0000;23,375;;;
170108;0000;12,6957;;;
170109;0000;9,20833;;;
170110;0000;12,4167;;;
170111;0000;14,3889;;;
170112;0000;21,875;;;
170113;0000;16,1667;;;
170114;0000;13,7917;;;
170115;0000;16,5417;;;
170116;0000;19,8182;;;
170117;0000;;;;
170118;0000;40,375;;;
170119;0000;85,0833;;;
170120;0000;57,0833;;;
170121;0000;54,6667;;;
170122;0000;55,0833;;;
170123;0000;48,4583;;;
170124;0000;58,8333;;;
170125;0000;35,6667;;;
170126;0000;52,4583;;;
170127;0000;27,2083;;;
170128;0000;48,4167;;;
170129;0000;52,5;;;
170130;0000;59,0417;;;
170131;0000;31,125;;;
170201;0000;65;;;
170202;0000;42,0417;;;
170203;0000;9,95833;;;
170204;0000;7,75;;;
170205;0000;13,5833;;;
170206;0000;19,375;;;
170207;0000;15,0833;;;
170208;0000;13,625;;;
170209;0000;12,625;;;
170210;0000;17,5417;;;
170211;0000;18,1667;;;
170212;0000;15,7083;;;
170213;0000;15,7917;;;
170214;0000;17,7083;;;
170215;0000;15,4167;;;
170216;0000;13,375;;;
170217;0000;9,375;;;
170218;0000;10,7083;;;
170219;0000;14,1667;;;
170220;0000;12,8333;;;
170221;0000;13,5833;;;
170222;0000;17,375;;;
170223;0000;19,6667;;;
170224;0000;19,0417;;;
170225;0000;14,9167;;;
170226;0000;9,33333;;;
170227;0000;9,625;;;
170228;0000;9,08333;;;
170301;0000;8,70833;;;
170302;0000;8,70833;;;
170303;0000;10,9583;;;
170304;0000;12,5417;;;
170305;0000;15,2917;;;
170306;0000;14,7917;;;
170307;0000;21,7083;;;
170308;0000;16;;;
170309;0000;9,75;;;
170310;0000;;;;
170311;0000;;;;
170312;0000;;;;
170313;0000;;;;
