FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170101;0000;6,375;;;
170102;0000;18,0417;;;
170103;0000;20;;;
170104;0000;14,8333;;;
170105;0000;11,25;;;
170106;0000;8,91667;;;
170107;0000;10,3333;;;
170108;0000;4,16667;;;
170109;0000;3,83333;;;
170110;0000;6,38095;;;
170111;0000;11,0833;;;
170112;0000;14,4583;;;
170113;0000;10,9167;;;
170114;0000;9,375;;;
170115;0000;8,875;;;
170116;0000;12,1739;;;
170117;0000;17,25;;;
170118;0000;27,625;;;
170119;0000;44,6667;;;
170120;0000;41,875;;;
170121;0000;38,4167;;;
170122;0000;25,6667;;;
170123;0000;32,2917;;;
170124;0000;45,25;;;
170125;0000;34,6667;;;
170126;0000;39,875;;;
170127;0000;18,875;;;
170128;0000;25,5;;;
170129;0000;31,9583;;;
170130;0000;41,25;;;
170131;0000;28,1667;;;
170201;0000;58,3333;;;
170202;0000;19,4583;;;
170203;0000;3,95833;;;
170204;0000;3,45833;;;
170205;0000;14;;;
170206;0000;11,5417;;;
170207;0000;7,375;;;
170208;0000;6,45833;;;
170209;0000;6,95833;;;
170210;0000;11,2917;;;
170211;0000;8,125;;;
170212;0000;11,25;;;
170213;0000;9,58333;;;
170214;0000;11,125;;;
170215;0000;9,58333;;;
170216;0000;7,58333;;;
170217;0000;6,91667;;;
170218;0000;6,70833;;;
170219;0000;11,625;;;
170220;0000;12,4583;;;
170221;0000;8,25;;;
170222;0000;12,9167;;;
170223;0000;7,875;;;
170224;0000;9,125;;;
170225;0000;7,75;;;
170226;0000;5,70833;;;
170227;0000;4,41667;;;
170228;0000;4,625;;;
170301;0000;5,54167;;;
170302;0000;5,16667;;;
170303;0000;8,875;;;
170304;0000;7,83333;;;
170305;0000;9,66667;;;
170306;0000;10,75;;;
170307;0000;17,9167;;;
170308;0000;15,4286;;;
170309;0000;5,41667;;;
170310;0000;7,58333;;;
170311;0000;12,7917;;;
170312;0000;13,3333;;;
170313;0000;16,2083;;;
170314;0000;9,375;;;
170315;0000;12;;;
170316;0000;;;19,9565;
170317;0000;;;;
170318;0000;;;;
170319;0000;;;;
170320;0000;;;;
170321;0000;18,3542;;;
170322;0000;14,3333;;;
170323;0000;13,125;;;
170324;0000;13,5833;;;
170325;0000;12,3333;;;
170326;0000;12,9583;;;
170327;0000;9,625;;;
170328;0000;11,9583;;;
170329;0000;8,20833;;;
170330;0000;9,58333;;;
170331;0000;11,6522;;;
170401;0000;11,7083;;;
170402;0000;15,9167;;;
170403;0000;24,7083;;;
170404;0000;13,3333;;;
170405;0000;21,3043;;;
170406;0000;18,625;;;
170407;0000;3,375;;;
170408;0000;7,45833;;;
170409;0000;16,625;;;
170410;0000;18;;;
170411;0000;21,6667;;;
170412;0000;18,875;;;
170413;0000;11,4167;;;
170414;0000;11,0833;;;
170415;0000;16,625;;;
170416;0000;21,7917;;;
170417;0000;15,7917;;;
170418;0000;11,0417;;;
170419;0000;15,3333;;;
170420;0000;12,1667;;;
170421;0000;12,7917;;;
170422;0000;17,6667;;;
170423;0000;17,375;;;
170424;0000;20,0417;;;
170425;0000;21,75;;;
170426;0000;21,1667;;;
170427;0000;29,5;;;
170428;0000;29,625;;;
170429;0000;35,5417;;;
170430;0000;36,5417;;;
170501;0000;22;;;
170502;0000;43;;;
170503;0000;45;;;
170504;0000;40;;;
170505;0000;34;;;
170506;0000;23;;;
170507;0000;16;;;
170508;0000;7;;;
170509;0000;27;;;
170510;0000;17;;;
170511;0000;12;;;
170512;0000;15;;;
170513;0000;18;;;
170514;0000;28;;;
170515;0000;23;;;
170516;0000;19;;;
170517;0000;21;;;
170518;0000;10;;;
170519;0000;41;;;
170520;0000;57;;;
170521;0000;82;;;
170522;0000;61;;;
170523;0000;47;;;
170524;0000;59;;;
170525;0000;32;;;
170526;0000;40;;;
170527;0000;45;;;
170528;0000;57;;;
170529;0000;50;;;
170530;0000;61;;;
170531;0000;79;;;
170601;0000;64;;;
170602;0000;60;;;
170603;0000;52;;;
170604;0000;71;;;
170605;0000;63;;;
170606;0000;76;;;
170607;0000;64;;;
170608;0000;30;;;
170609;0000;54;;;
170610;0000;51;;;
170611;0000;49;;;
170612;0000;53;;;
170613;0000;44;;;
170614;0000;60;;;
170615;0000;56;;;
170616;0000;26;;;
170617;0000;18;;;
170618;0000;35;;;
170619;0000;52;;;
170620;0000;52;;;
170621;0000;39;;;
170622;0000;21;;;
170623;0000;26;;;
170624;0000;38;;;
170625;0000;19;;;
170626;0000;19;;;
170627;0000;32;;;
170628;0000;41;;;
170629;0000;51;;;
170630;0000;49;;;
170701;0000;46;;;
170702;0000;33;;;
170703;0000;36;;;
170704;0000;27;;;
170705;0000;50;;;
170706;0000;55;;;
170707;0000;50;;;
170708;0000;46;;;
170709;0000;45;;;
170710;0000;51;;;
170711;0000;69;;;
170712;0000;55;;;
170713;0000;38;;;
170714;0000;12;;;
170715;0000;19;;;
170716;0000;36;;;
170717;0000;42;;;
170718;0000;56;;;
170719;0000;63;;;
170720;0000;49;;;
170721;0000;37;;;
170722;0000;26;;;
170723;0000;41;;;
170724;0000;28;;;
170725;0000;42;;;
170726;0000;52;;;
170727;0000;42;;;
170728;0000;50;;;
170729;0000;45;;;
170730;0000;56;;;
170731;0000;58;;;
170801;0000;47;;;
170802;0000;66;;;
170803;0000;49;;;
170804;0000;45;;;
170805;0000;34;;;
170806;0000;59;;;
170807;0000;16;;;
170808;0000;40;;;
170809;0000;28;;;
170810;0000;10;;;
170811;0000;17;;;
170812;0000;32;;;
170813;0000;42;;;
170814;0000;26;;;
170815;0000;36;;;
170816;0000;32;;;
170817;0000;33;;;
170818;0000;14;;;
170819;0000;16;;;
170820;0000;37;;;
170821;0000;32;;;
170822;0000;20;;;
170823;0000;8;;;
170824;0000;8;;;
170825;0000;20;;;
170826;0000;33;;;
170827;0000;16;;;
170828;0000;7;;;
170829;0000;12;;;
170830;0000;29;;;
170831;0000;26;;;
170901;0000;14;;;
170902;0000;17;;;
170903;0000;8;;;
170904;0000;34;;;
170905;0000;26;;;
170906;0000;29;;;
170907;0000;33;;;
170908;0000;16;;;
170909;0000;34;;;
170910;0000;13;;;
170911;0000;30;;;
170912;0000;25;;;
170913;0000;13;;;
170914;0000;18;;;
170915;0000;24;;;
170916;0000;33;;;
170917;0000;33;;;
170918;0000;22;;;
170919;0000;10;;;
170920;0000;12;;;
170921;0000;20;;;
170922;0000;26;;;
170923;0000;25;;;
170924;0000;12;;;
170925;0000;20;;;
170926;0000;24;;;
170927;0000;28;;;
170928;0000;;;15;
170929;0000;;;;
170930;0000;;;;
171001;0000;;;;
171002;0000;;;;
171003;0000;;;;
171004;0000;4;;;
171005;0000;4;;;
171006;0000;;;9;
171007;0000;;;6;
171008;0000;;;4;
171009;0000;;;5;
171010;0000;;;3;
171011;0000;;;3;
171012;0000;3;;;
171013;0000;12;;;
171014;0000;15;;;
171015;0000;9;;;
171016;0000;6;;;
171017;0000;8;;;
171018;0000;;;;
171019;0000;;;;
171020;0000;;;;
171021;0000;;;;
171022;0000;;;;
171023;0000;;;;
171024;0000;;;;
171025;0000;;;;
171026;0000;;;;
171027;0000;;;;
171028;0000;;;;
171029;0000;;;;
171030;0000;;;;
171031;0000;;;;
171101;0000;;;3;
171102;0000;;;2;
171103;0000;;;4;
171104;0000;7;;;
171105;0000;9;;;
171106;0000;6;;;
171107;0000;10;;;
171108;0000;8;;;
171109;0000;8;;;
171110;0000;11;;;
171111;0000;16;;;
171112;0000;13;;;
171113;0000;;;;
171114;0000;;;;
171115;0000;;;;
171116;0000;;;;
171117;0000;;;;
171118;0000;;;;
171119;0000;;;;
171120;0000;;;;
171121;0000;;;;
171122;0000;13;;;
171123;0000;17;;;
171124;0000;10;;;
171125;0000;14;;;
171126;0000;11;;;
171127;0000;11;;;
171128;0000;9;;;
171129;0000;9;;;
171130;0000;17;;;
171201;0000;13;;;
171202;0000;;;10;
171203;0000;;;;
171204;0000;;;42;
171205;0000;11;;;
171206;0000;12;;;
171207;0000;12;;;
171208;0000;10;;;
171209;0000;12;;;
171210;0000;20;;;
171211;0000;14;;;
171212;0000;8;;;
171213;0000;;;5;
171214;0000;11;;;
171215;0000;9;;;
171216;0000;5;;;
171217;0000;11;;;
171218;0000;13;;;
171219;0000;12;;;
171220;0000;10;;;
171221;0000;10;;;
171222;0000;10;;;
171223;0000;16;;;
171224;0000;10;;;
171225;0000;10;;;
171226;0000;5;;;
171227;0000;6;;;
171228;0000;8;;;
171229;0000;7;;;
171230;0000;6;;;
171231;0000;9;;;
180101;0000;11;;;
180102;0000;10;;;
180103;0000;8;;;
180104;0000;5;;;
180105;0000;;;;
180106;0000;13;;;
180107;0000;16;;;
180108;0000;8;;;
180109;0000;13;;;
180110;0000;37;;;
180111;0000;9;;;
180112;0000;9;;;
180113;0000;12;;;
180114;0000;11;;;
180115;0000;8;;;
180116;0000;9;;;
180117;0000;13;;;
180118;0000;12;;;
180119;0000;9;;;
180120;0000;10;;;
180121;0000;8;;;
180122;0000;10;;;
180123;0000;11;;;
180124;0000;10;;;
180125;0000;11;;;
180126;0000;10;;;
180127;0000;13;;;
180128;0000;19;;;
180129;0000;15;;;
180130;0000;11;;;
180131;0000;;;;
180201;0000;15;;;
180202;0000;15;;;
180203;0000;12;;;
180204;0000;13;;;
180205;0000;12;;;
180206;0000;10;;;
180207;0000;10;;;
180208;0000;;;;
180209;0000;;;;
180210;0000;12;;;
180211;0000;15;;;
180212;0000;22;;;
180213;0000;19;;;
180214;0000;11;;;
180215;0000;14;;;
180216;0000;16;;;
180217;0000;13;;;
180218;0000;6;;;
180219;0000;5;;;
180220;0000;8;;;
180221;0000;7;;;
180222;0000;10;;;
180223;0000;9;;;
180224;0000;13;;;
180225;0000;9;;;
180226;0000;10;;;
180227;0000;7;;;
180228;0000;8;;;
180301;0000;12;;;
180302;0000;10;;;
180303;0000;8;;;
180304;0000;11;;;
180305;0000;14;;;
180306;0000;18;;;
180307;0000;12;;;
180308;0000;11;;;
180309;0000;12;;;
180310;0000;9;;;
180311;0000;9;;;
180312;0000;;;8;
180313;0000;;;;
180314;0000;;;;
180315;0000;;;;
180316;0000;8;;;
180317;0000;5;;;
180318;0000;;;5;
180319;0000;11;;;
180320;0000;14;;;
180321;0000;12;;;
180322;0000;7;;;
180323;0000;6;;;
180324;0000;11;;;
180325;0000;15;;;
180326;0000;15;;;
180327;0000;20;;;
180328;0000;21;;;
180329;0000;25;;;
180330;0000;23;;;
180331;0000;13;;;
180401;0000;13;;;
180402;0000;10;;;
180403;0000;15;;;
180404;0000;13;;;
180405;0000;15;;;
180406;0000;10;;;
180407;0000;12;;;
180408;0000;12;;;
180409;0000;8;;;
180410;0000;12;;;
180411;0000;5;;;
180412;0000;11;;;
180413;0000;12;;;
180414;0000;16;;;
180415;0000;25;;;
180416;0000;25;;;
180417;0000;23;;;
180418;0000;16;;;
180419;0000;20;;;
180420;0000;30;;;
180421;0000;26;;;
180422;0000;16;;;
180423;0000;17;;;
180424;0000;17;;;
180425;0000;26;;;
180426;0000;8;;;
180427;0000;20;;;
180428;0000;32;;;
180429;0000;20;;;
180430;0000;22;;;
180501;0000;30;;;
180502;0000;11;;;
180503;0000;19;;;
180504;0000;34;;;
180505;0000;23;;;
180506;0000;10;;;
180507;0000;9;;;
180508;0000;14;;;
180509;0000;10;;;
180510;0000;16;;;
180511;0000;37;;;
180512;0000;39;;;
180513;0000;24;;;
180514;0000;24;;;
180515;0000;40;;;
180516;0000;27;;;
180517;0000;20;;;
180518;0000;32;;;
180519;0000;44;;;
180520;0000;52;;;
180521;0000;29;;;
180522;0000;29;;;
180523;0000;46;;;
180524;0000;56;;;
180525;0000;51;;;
180526;0000;40;;;
180527;0000;74;;;
180528;0000;44;;;
180529;0000;;;;
180530;0000;;;;
180531;0000;;;;
180601;0000;;;;
180602;0000;;;;
180603;0000;;;;
180604;0000;;;;
180605;0000;;;;
180606;0000;;;;
180607;0000;;;;
180608;0000;;;;
180609;0000;32;;;
180610;0000;7;;;
180611;0000;14;;;
180612;0000;39;;;
180613;0000;47;;;
180614;0000;64;;;
180615;0000;68;;;
180616;0000;64;;;
180617;0000;62;;;
180618;0000;44;;;
180619;0000;22;;;
180620;0000;47;;;
180621;0000;41;;;
180622;0000;40;;;
180623;0000;63;;;
180624;0000;47;;;
180625;0000;51;;;
180626;0000;;;;
180627;0000;67;;;
180628;0000;42;;;
180629;0000;38;;;
180630;0000;42;;;
