Consulta_por,n_pacientes,Comuna,Mes,Año
IRA ALTA,343,Santiago,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,17,Santiago,enero,2018
NEUMONÍA,25,Santiago,enero,2018
ASMA,26,Santiago,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,18,Santiago,enero,2018
OTRAS RESPIRATORIAS,184,Santiago,enero,2018
CARDIOVASCULAR,0,Santiago,enero,2018
IRA ALTA,148,Cerrillos,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,31,Cerrillos,enero,2018
NEUMONÍA,15,Cerrillos,enero,2018
ASMA,6,Cerrillos,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,8,Cerrillos,enero,2018
OTRAS RESPIRATORIAS,85,Cerrillos,enero,2018
CARDIOVASCULAR,0,Cerrillos,enero,2018
IRA ALTA,452,Cerro Navia,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,169,Cerro Navia,enero,2018
NEUMONÍA,53,Cerro Navia,enero,2018
ASMA,136,Cerro Navia,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,53,Cerro Navia,enero,2018
OTRAS RESPIRATORIAS,80,Cerro Navia,enero,2018
CARDIOVASCULAR,938,Cerro Navia,enero,2018
IRA ALTA,381,Conchalí,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,96,Conchalí,enero,2018
NEUMONÍA,28,Conchalí,enero,2018
ASMA,42,Conchalí,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,25,Conchalí,enero,2018
OTRAS RESPIRATORIAS,154,Conchalí,enero,2018
CARDIOVASCULAR,94,Conchalí,enero,2018
IRA ALTA,878,El Bosque,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,97,El Bosque,enero,2018
NEUMONÍA,71,El Bosque,enero,2018
ASMA,59,El Bosque,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,61,El Bosque,enero,2018
OTRAS RESPIRATORIAS,278,El Bosque,enero,2018
CARDIOVASCULAR,427,El Bosque,enero,2018
IRA ALTA,95,Estación Central,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,71,Estación Central,enero,2018
NEUMONÍA,10,Estación Central,enero,2018
ASMA,11,Estación Central,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,8,Estación Central,enero,2018
OTRAS RESPIRATORIAS,101,Estación Central,enero,2018
CARDIOVASCULAR,0,Estación Central,enero,2018
IRA ALTA,288,Huechuraba,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,62,Huechuraba,enero,2018
NEUMONÍA,49,Huechuraba,enero,2018
ASMA,22,Huechuraba,enero,2018
ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA,9,Huechuraba,enero,2018
OTRAS RESPIRATORIAS,95,Huechuraba,enero,2018
CARDIOVASCULAR,0,Huechuraba,enero,2018
IRA ALTA,312,Independencia,enero,2018
SINDROME BRONQUIAL OBSTRUCTIVO,29,Independencia,enero,2018
NEUMONÍA,10,Independencia,enero,2018
